host_since,host_is_superhost,latitude,longitude,accommodates,bedrooms,beds,review_scores_rating
2012-04-29,t,4.068.462,-7.392.895,2,2,2,4.8
2011-05-22,t,406.755,-7.398.137,4,2,2,4.96
2011-05-23,t,4.080.617,-7.394.757,3,,2,4.69
2011-05-24,f,4.068.595,-7.392.923,2,1,1,4.88
2011-05-26,f,4.072.761,-7.398.951,9,2,4,4.31
2011-05-24,f,4.079.907,-7.396.517,1,1,1,3.67
2009-06-25,f,4.066.895,-7.399.136,4,2,2,5.0
2010-02-25,t,407.106,-7.385.246,3,1,2,4.75
2011-06-01,f,4.075.587,-7.399.399,1,1,1,4.85
2011-06-01,t,4.074.564,-7.397.782,1,1,1,4.84
2011-06-01,f,4.071.771,-7.395.849,2,1,1,4.58
2011-06-04,t,4.068.646,-7.397.548,3,1,1,4.81
2011-06-04,f,4.074.373,-7.399.928,1,,1,4.78
2011-06-04,t,4.067.494,-7.397.792,5,3,3,4.9
2011-06-08,f,4.067.478,-7.395.165,2,1,1,4.36
2011-05-24,t,4.071.347,-7.396.035,4,,3,4.93
2011-06-10,f,4.072.334,-7.397.719,4,2,3,4.68
2011-06-10,f,406.857,-7.398.131,4,,2,4.71
2011-06-10,f,4.067.487,-7.397.637,5,3,4,4.41
2010-11-03,f,4.072.506,-7.397.906,2,,1,4.6
2011-05-23,t,4.080.687,-7.395.333,5,2,3,4.89
2010-11-26,f,4.072.297,-739.851,2,1,1,4.53
2011-06-18,f,407.304,-7.400.228,4,1,1,4.88
2011-06-18,f,4.071.345,-7.394.289,6,2,2,4.88
2011-06-19,t,4.079.999,-7.396.338,4,2,2,4.74
2011-06-19,f,4.078.422,-7.395.133,4,2,2,
2011-06-20,f,4.081.862,-7.394.518,16,4,5,
2011-06-21,f,407.203,-7.398.424,5,2,3,4.97
2011-06-21,f,4.071.584,-7.396.355,2,1,1,4.95
2011-06-20,f,4.075.684,-7.391.286,3,2,2,4.85
2011-06-22,f,4.067.231,-7.397.878,2,1,1,
2011-06-22,t,4.080.494,-7.394.998,8,2,6,4.83
2011-06-24,t,4.072.751.818.909.830,-7.398.581.072.587.310,2,1,1,4.88
2011-06-29,f,4.068.096,-7.394.062,4,1,1,4.44
2011-06-29,f,4.068.511,-7.391.927,2,1,1,4.54
2011-05-10,f,4.071.596,-7.396.017,2,1,1,4.75
2009-11-14,f,4.068.048,-7.393.938,3,1,2,4.76
2009-11-14,f,4.068.048,-7.393.938,2,1,1,4.88
2011-06-29,f,4.074.389,-7.400.068,2,1,2,4.92
2011-07-04,f,4.071.174,-7.395.798,6,3,3,4.98
2011-07-04,f,4.067.188,-7.395.097,2,1,3,4.21
2011-05-26,f,4.072.641,-7.398.711,5,1,4,4.1
2011-07-07,f,4.079.864,-7.396.209,6,2,3,4.65
2011-07-07,f,4.068.478,-739.066,2,1,1,4.54
2011-07-08,f,4.068.194,-7.399.708,6,3,4,4.83
2011-06-19,t,4.065.891,-7.398.556,2,1,1,4.6
2011-07-11,f,4.085.981,-739.063,2,1,1,4.47
2011-07-11,f,4.060.602,-7.397.076,4,1,1,
2011-07-12,f,4.079.179,-7.393.972,2,1,1,5.0
2010-01-04,t,4.068.876,-7.397.758,2,1,1,4.9
2009-12-07,t,4.074.937,-7.399.467,2,,2,4.86
2011-07-14,f,4.066.946,-7.394.638,3,1,2,4.83
2011-07-16,f,4.072.852,-7.395.655,2,1,1,4.81
2011-07-18,f,407.751,-7.398.595,9,2,3,4.96
2011-07-20,t,4.072.905,-7.398.214,1,1,1,4.66
2011-07-21,f,4.074.088,-7.399.538,4,2,2,5.0
2011-07-21,t,4.074.045,-739.749,2,1,1,4.76
2010-12-10,t,4.072.212,-7.399.638,6,2,3,4.94
2009-09-17,f,4.078.923,-73.946,3,,1,4.76
2011-07-26,t,4.086.502,-7.385.496,5,1,2,4.67
2011-08-01,f,4.073.862,-7.399.758,4,2,2,4.5
2011-08-02,f,4.073.345,-7.398.809,2,1,1,4.87
2010-07-24,f,4.076.263,-7.399.401,2,1,1,4.68
2011-08-02,f,4.074.907,-7.400.281,2,1,2,4.0
2011-04-06,t,4.067.346,-7.387.263,8,3,5,4.82
2011-08-03,f,4.066.941,-7.394.988,2,1,1,4.64
2011-08-03,f,407.688,-7.395.825,2,1,1,4.92
2011-08-04,f,4.067.914,-7.396.443,2,1,1,4.77
2011-07-26,f,4.066.836,-7.398.166,3,1,2,4.64
2011-08-07,f,407.963,-7.396.069,2,1,1,4.61
2011-08-08,f,4.083.338,-7.394.326,2,1,1,4.6
2011-08-10,f,4.065.633.596.575.030,-739.552.575.210.382,1,1,1,4.71
2011-08-10,f,4.065.467.670.527.780,-7.395.720.935.128.450,1,1,1,4.65
2011-05-22,t,4.067.641,-7.398.161,2,1,1,4.93
2011-08-13,f,4.082.929,-7.394.873,3,1,1,4.73
2011-08-13,f,40.761.436,-73.991.791,2,2,1,4.76
2010-11-16,t,406.836,-7.395.445,2,2,2,4.81
2011-08-13,f,4.077.728,-7.391.278,2,1,2,4.87
2011-08-14,f,407.794,-7.395.096,1,1,1,4.82
2013-04-23,f,4.078.141,-7.398.909,2,1,1,4.82
2011-08-07,f,4.076.739,-739.557,1,1,1,
2011-05-08,f,4.073.125,-739.811,2,1,1,4.44
2011-08-17,f,4.082.553,-7.394.511,4,1,1,0.0
2011-08-18,f,4.067.466,-7.397.853,4,1,2,4.84
2011-08-03,f,4.068.702,-7.394.917,2,1,1,4.41
2011-08-21,f,4.076.922,-7.395.648,4,1,1,5.0
2009-11-03,f,40.687,-7.396.149,8,2,5,4.56
2011-08-23,f,4.068.339,-7.394.034,2,1,1,4.89
2011-08-23,f,4.072.002,-7.394.238,3,1,3,4.73
2011-08-24,f,406.878,-7.397.253,2,,2,4.75
2011-08-24,f,407.125,-7.396.598,2,1,1,4.86
2011-08-25,f,405.847,-7.394.088,4,1,2,4.61
2011-08-26,f,4.071.955,-7.395.471,2,1,1,4.82
2011-08-28,f,4.069.049,-7.393.212,4,2,2,4.58
2011-08-28,t,4.073.877,-7.392.557,2,1,2,4.89
2011-06-05,f,4.073.814,-7.400.811,1,2,2,5.0
2011-09-01,f,4.067.828,-7.398.414,3,1,1,4.67
2011-07-10,t,4.071.724,-7.399.054,2,1,1,4.98
2011-09-04,f,4.060.742,-7.414.388,3,1,2,5.0
2011-09-05,t,4.068.613,-7.395.545,2,1,1,4.74
2009-05-17,t,4.069.048.013.135.310,-7.397.339.054.666.490,2,1,1,4.9
2011-09-08,f,4.080.592,-7.395.172,1,1,1,4.71
2011-03-17,f,4.061.943,-7.399.232,2,1,1,4.86
2011-09-10,f,4.081.553,-7.395.438,1,1,2,4.75
2011-08-03,f,4.068.788,-7.395.014,2,1,1,4.72
2011-09-12,f,4.070.608,-7.392.358,4,2,2,4.68
2011-09-11,f,4.072.419,-7.397.922,2,1,1,4.56
2011-09-13,f,407.401,-7.400.019,2,1,1,4.79
